strategy,config_id,parameters_json,trades,wins,losses,signals,expectancy_R,gross_expectancy_R,avg_cost_R,profit_factor_R,max_drawdown_R,cost_share_of_gross_wins,param_adx_threshold,param_adx_window,param_atr_stop_multiplier,param_atr_stop_window,param_fast_ema,param_max_hold_bars,param_pullback_lookback,param_require_di,param_risk_reward,param_side,param_slow_ema,param_min_bars_after_reset,param_regime_ema,param_volume_mult,param_volume_window,param_vwap_slope_lookback,param_atr_window,param_level_lookback,param_reclaim_atr,param_stop_atr,param_sweep_atr,param_breakout_atr_buffer,param_lookback
rolling_range_breakout,89c01e807b9c358842276302,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":96,""regime_ema"":200,""risk_reward"":4.0,""side"":""long""}",246.0,78.0,168.0,246.0,0.15807752458273908,0.31646357613880827,0.15838605155606927,1.2012113975647005,17.017290344042507,0.1595784405412569,,,2.0,14.0,,96,,,4.0,long,,,200.0,,,,14.0,,,,,0.25,384.0
rolling_sweep_reclaim,867d24f8d57c8301eb134f6b,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.15}",22.0,11.0,11.0,22.0,0.15352511423111068,0.4577311370584333,0.30420602282732273,1.289974731128394,4.9623513153379175,0.3637665435633934,,,,,,64,,,2.0,short,,,200.0,,,,14.0,96.0,0.0,0.25,0.15,,
rolling_sweep_reclaim,583ed1db5872dd1467519936,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.15}",22.0,11.0,11.0,22.0,0.15352511423111068,0.4577311370584333,0.30420602282732273,1.289974731128394,4.9623513153379175,0.3637665435633934,,,,,,64,,,2.0,short,,,200.0,,,,14.0,96.0,0.1,0.25,0.15,,
rolling_sweep_reclaim,4984d67501a6f01a80f4ce01,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.15}",22.0,11.0,11.0,22.0,0.15258713267487697,0.4581490059506966,0.3055618732758196,1.287841663670433,4.969669274049262,0.3651495926139617,,,,,,64,,,2.0,short,,,200.0,,,,21.0,96.0,0.0,0.25,0.15,,
rolling_sweep_reclaim,f89dac6c75418403bee570cf,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":2.0,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.15}",22.0,11.0,11.0,22.0,0.15258713267487697,0.4581490059506966,0.3055618732758196,1.287841663670433,4.969669274049262,0.3651495926139617,,,,,,64,,,2.0,short,,,200.0,,,,21.0,96.0,0.1,0.25,0.15,,
rolling_range_breakout,c57fc0bda4793375b4c04d29,"{""atr_stop_multiplier"":3.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.5,""lookback"":384,""max_hold_bars"":96,""regime_ema"":100,""risk_reward"":4.0,""side"":""long""}",194.0,70.0,124.0,194.0,0.15191253222869827,0.2587354933838906,0.10682296115519235,1.228028250039524,14.765959108419187,0.1244829581786764,,,3.0,14.0,,96,,,4.0,long,,,100.0,,,,14.0,,,,,0.5,384.0
rolling_range_breakout,79f0ff8fe63ae31b84ab3c5b,"{""atr_stop_multiplier"":3.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.5,""lookback"":384,""max_hold_bars"":96,""regime_ema"":200,""risk_reward"":4.0,""side"":""long""}",194.0,70.0,124.0,194.0,0.15191253222869827,0.2587354933838906,0.10682296115519235,1.228028250039524,14.765959108419187,0.1244829581786764,,,3.0,14.0,,96,,,4.0,long,,,200.0,,,,14.0,,,,,0.5,384.0
rolling_range_breakout,496b792a902e6b8915169e2a,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":192,""regime_ema"":100,""risk_reward"":4.0,""side"":""long""}",240.0,65.0,175.0,240.0,0.14971919386694826,0.30767494265985446,0.15795574879290628,1.1785525022591588,17.017290344042504,0.15322709116292993,,,2.0,14.0,,192,,,4.0,long,,,100.0,,,,14.0,,,,,0.25,384.0
rolling_range_breakout,c14e7a7ff0508a3a4d92a5e2,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":192,""regime_ema"":200,""risk_reward"":4.0,""side"":""long""}",240.0,65.0,175.0,240.0,0.14971919386694826,0.30767494265985446,0.15795574879290628,1.1785525022591588,17.017290344042504,0.15322709116292993,,,2.0,14.0,,192,,,4.0,long,,,200.0,,,,14.0,,,,,0.25,384.0
rolling_sweep_reclaim,f8d8469567511f4659ec135f,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":16,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":2.5,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.15}",22.0,11.0,11.0,22.0,0.14866507864500292,0.4796202837332581,0.33095520508825516,1.3587182731087897,2.5730220054658,0.4272292318197644,,,,,,16,,,2.5,short,,,200.0,,,,21.0,96.0,0.0,0.1,0.15,,
rolling_sweep_reclaim,f2c4fc0f9d6753552bac1280,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":16,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":2.5,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.15}",22.0,11.0,11.0,22.0,0.14866507864500292,0.4796202837332581,0.33095520508825516,1.3587182731087897,2.5730220054658,0.4272292318197644,,,,,,16,,,2.5,short,,,200.0,,,,21.0,96.0,0.1,0.1,0.15,,
rolling_range_breakout,023bf437fa1a26bebfc8754c,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":384,""regime_ema"":100,""risk_reward"":4.0,""side"":""long""}",171.0,49.0,122.0,171.0,0.1484576604676882,0.2285153046049437,0.08005764413725534,1.195850727056135,15.38449163836508,0.08600242086393525,,,4.0,14.0,,384,,,4.0,long,,,100.0,,,,14.0,,,,,0.25,384.0
rolling_range_breakout,9cc9a3da5a88266062fabea3,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":384,""regime_ema"":200,""risk_reward"":4.0,""side"":""long""}",171.0,49.0,122.0,171.0,0.1484576604676882,0.2285153046049437,0.08005764413725534,1.195850727056135,15.38449163836508,0.08600242086393525,,,4.0,14.0,,384,,,4.0,long,,,200.0,,,,14.0,,,,,0.25,384.0
rolling_sweep_reclaim,a608f6b755d18b16e44ce5f6,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":16,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":2.5,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.15}",22.0,11.0,11.0,22.0,0.14824189231132506,0.47855596629491526,0.33031407398359014,1.3577398129489158,2.571654258659058,0.42699990045631653,,,,,,16,,,2.5,short,,,200.0,,,,14.0,96.0,0.0,0.1,0.15,,
rolling_sweep_reclaim,5eb82a9a2fc3f59d5e116a6c,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":16,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":2.5,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.15}",22.0,11.0,11.0,22.0,0.14824189231132506,0.47855596629491526,0.33031407398359014,1.3577398129489158,2.571654258659058,0.42699990045631653,,,,,,16,,,2.5,short,,,200.0,,,,14.0,96.0,0.1,0.1,0.15,,
rolling_range_breakout,878cb14307fd106e3d48504c,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.0,""lookback"":384,""max_hold_bars"":384,""regime_ema"":100,""risk_reward"":3.0,""side"":""long""}",197.0,64.0,133.0,197.0,0.14648727789291713,0.22609983668727157,0.07961255879435439,1.2047417053086742,18.8260403359685,0.08952831759798537,,,4.0,14.0,,384,,,3.0,long,,,100.0,,,,14.0,,,,,0.0,384.0
rolling_range_breakout,fb539e06d42a7aeee90bb84c,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.0,""lookback"":384,""max_hold_bars"":384,""regime_ema"":200,""risk_reward"":3.0,""side"":""long""}",197.0,64.0,133.0,197.0,0.14648727789291713,0.22609983668727157,0.07961255879435439,1.2047417053086742,18.8260403359685,0.08952831759798537,,,4.0,14.0,,384,,,3.0,long,,,200.0,,,,14.0,,,,,0.0,384.0
rolling_range_breakout,372fe8fe7636b429154e571a,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.0,""lookback"":384,""max_hold_bars"":384,""regime_ema"":100,""risk_reward"":3.0,""side"":""long""}",197.0,64.0,133.0,197.0,0.14648727789291713,0.22609983668727157,0.07961255879435439,1.2047417053086742,18.8260403359685,0.08952831759798537,,,4.0,14.0,,384,,,3.0,long,,,100.0,,,,21.0,,,,,0.0,384.0
rolling_range_breakout,bebfe87957f24a9e4aed5191,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.0,""lookback"":384,""max_hold_bars"":384,""regime_ema"":200,""risk_reward"":3.0,""side"":""long""}",197.0,64.0,133.0,197.0,0.14648727789291713,0.22609983668727157,0.07961255879435439,1.2047417053086742,18.8260403359685,0.08952831759798537,,,4.0,14.0,,384,,,3.0,long,,,200.0,,,,21.0,,,,,0.0,384.0
rolling_sweep_reclaim,313c3b21d28087223ff2ac89,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":32,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.0}",28.0,16.0,12.0,28.0,0.14504079382375826,0.45331426446613593,0.30827347064237776,1.33365359526036,3.903176397512191,0.3968633562322675,,,,,,32,,,1.5,short,,,200.0,,,,14.0,96.0,0.0,0.25,0.0,,
rolling_sweep_reclaim,14bc0caebd5b153616ef6c2f,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":32,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.0}",28.0,16.0,12.0,28.0,0.14504079382375826,0.45331426446613593,0.30827347064237776,1.33365359526036,3.903176397512191,0.3968633562322675,,,,,,32,,,1.5,short,,,200.0,,,,14.0,96.0,0.1,0.25,0.0,,
rolling_range_breakout,830107e0e57976934848f5f6,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.0,""lookback"":384,""max_hold_bars"":192,""regime_ema"":100,""risk_reward"":3.0,""side"":""long""}",210.0,78.0,132.0,210.0,0.1449917845578644,0.22458708408366418,0.07959529952579975,1.2288879071562389,14.339563509758753,0.09841418431214727,,,4.0,14.0,,192,,,3.0,long,,,100.0,,,,14.0,,,,,0.0,384.0
rolling_range_breakout,d761a2a4c9b9633e2ed97c1f,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.0,""lookback"":384,""max_hold_bars"":192,""regime_ema"":200,""risk_reward"":3.0,""side"":""long""}",210.0,78.0,132.0,210.0,0.1449917845578644,0.22458708408366418,0.07959529952579975,1.2288879071562389,14.339563509758753,0.09841418431214727,,,4.0,14.0,,192,,,3.0,long,,,200.0,,,,14.0,,,,,0.0,384.0
rolling_range_breakout,de75073fbbf51a1e91ae67ed,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.0,""lookback"":384,""max_hold_bars"":192,""regime_ema"":100,""risk_reward"":3.0,""side"":""long""}",210.0,78.0,132.0,210.0,0.1449917845578644,0.22458708408366418,0.07959529952579975,1.2288879071562389,14.339563509758753,0.09841418431214727,,,4.0,14.0,,192,,,3.0,long,,,100.0,,,,21.0,,,,,0.0,384.0
rolling_range_breakout,5bff1b1e28faf34c8ced62e7,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.0,""lookback"":384,""max_hold_bars"":192,""regime_ema"":200,""risk_reward"":3.0,""side"":""long""}",210.0,78.0,132.0,210.0,0.1449917845578644,0.22458708408366418,0.07959529952579975,1.2288879071562389,14.339563509758753,0.09841418431214727,,,4.0,14.0,,192,,,3.0,long,,,200.0,,,,21.0,,,,,0.0,384.0
rolling_sweep_reclaim,eeaa760a835d1c3bc436222a,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":32,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.0}",28.0,16.0,12.0,28.0,0.14465564444616746,0.4538617341920545,0.3092060897458871,1.3324077805244774,3.907362169148036,0.3977809719919228,,,,,,32,,,1.5,short,,,200.0,,,,21.0,96.0,0.0,0.25,0.0,,
rolling_sweep_reclaim,47a52570fa32bb328818dbd9,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":32,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.25,""sweep_atr"":0.0}",28.0,16.0,12.0,28.0,0.14465564444616746,0.4538617341920545,0.3092060897458871,1.3324077805244774,3.907362169148036,0.3977809719919228,,,,,,32,,,1.5,short,,,200.0,,,,21.0,96.0,0.1,0.25,0.0,,
rolling_range_breakout,28b517e2eade3e03176fce52,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.5,""lookback"":384,""max_hold_bars"":192,""regime_ema"":100,""risk_reward"":4.0,""side"":""long""}",171.0,61.0,110.0,171.0,0.14392657240954293,0.22500664085956854,0.08108006845002558,1.2235338415111117,11.536588855031354,0.09918173660191423,,,4.0,14.0,,192,,,4.0,long,,,100.0,,,,14.0,,,,,0.5,384.0
rolling_range_breakout,c18f72e20d48234d85a6f695,"{""atr_stop_multiplier"":4.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.5,""lookback"":384,""max_hold_bars"":192,""regime_ema"":200,""risk_reward"":4.0,""side"":""long""}",171.0,61.0,110.0,171.0,0.14392657240954293,0.22500664085956854,0.08108006845002558,1.2235338415111117,11.536588855031354,0.09918173660191423,,,4.0,14.0,,192,,,4.0,long,,,200.0,,,,14.0,,,,,0.5,384.0
rolling_range_breakout,170a6c912ebabe241c0b2913,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":96,""regime_ema"":100,""risk_reward"":4.0,""side"":""long""}",249.0,77.0,172.0,249.0,0.1436308722520181,0.3021825866444255,0.15855171439240745,1.180248100818399,18.287889964005274,0.16051378779096273,,,2.0,14.0,,96,,,4.0,long,,,100.0,,,,21.0,,,,,0.25,384.0
